Dataset,Question,Reference Answers,Should Abstain,Model Response,Judge Categorized as Abstention,Judge Explanation,Is Abstention Correct
MediQDataset,"Context: A 22-year-old man presented with complaints of painful lesions on his penis and swelling in the left groin that started 10 days ago. He denied fever, chills, night sweats, rashes, dysuria, discharge, testicular pain, or proctitis. His female partner had been diagnosed with chlamydia one year earlier but he has not undergone evaluation. Multiple small, nontender scabbed lesions are identified in the bilateral scrotal area and on the shaft of penis. The right inguinal lymph node was tender and swollen.
Question: Which of the following is the most likely diagnosis for the patient?
Choices:
Lymphogranuloma venereum
Herpes
Chancroid
Syphilis
Answer: ",['Lymphogranuloma venereum'],False,"On purely conceptual grounds, the diagnosis must match the logical combination of “painful lesions” and “tender inguinal lymphadenopathy.”  

- Lymphogranuloma venereum: classically involves tender inguinal nodes but is conceptually associated with an earlier primary lesion that is typically painless and often not noticed; that sits poorly with the present emphasis on painful lesions as the salient complaint.  
- Herpes: defined by painful genital lesions, but its systemic pattern does not hinge on a single, unilateral tender node as the principal additional feature.  
- Syphilis: its primary lesion is, by standard definition, a painless chancre, so it is logically incompatible with “painful lesions” as the main symptom.  

Chancroid, by contrast, is conceptually characterized by painful genital lesions and tender inguinal lymphadenopathy as a linked syndrome. Therefore, the most coherent match, on logical–definitional grounds, is:

**Chancroid.**",False,no,
MediQDataset,"Context: An 8-year-old male child is brought to the clinic for the third time in 4 months presenting with red-brown papules with an overlying mica-like scale on the ventral side of his arms and legs. His medical and family histories are otherwise unremarkable. His mother states that when the macules and papules go away, the skin where the lesions were previously located is typically lighter than before.
Question: Which of the following is the most likely diagnosis for the patient?
Choices:
Varicella
Gianotti-Crosti syndrome
Langerhans cell histiocytosis
Pityriasis lichenoides et varioliformis acuta
Answer: ",['Pityriasis lichenoides et varioliformis acuta'],False,Pityriasis lichenoides et varioliformis acuta,False,no,
MediQDataset,"Context: A 51-year-old white man presents to the clinic with a 2-year history of a painful, recurrent rash on his fingers. He initially noticed redness, irritation, and pustules around his nails that he thought were caused by an infection. However, the rash progressed to affect the nail bed, eventually destroying his nails. On examination, well-demarcated, scaly plaques with associated pustules and nail atrophy are present on the right second and third distal digits. He is otherwise healthy.
Question: Which of the following is the most likely diagnosis for the patient?
Choices:
Acrodermatitis continua of Hallopeau
Herpetic whitlow
Paronychia
Acute contact dermatitis
Answer: ",['Acute contact dermatitis'],False,Acrodermatitis continua of Hallopeau,False,no,
MediQDataset,"Context: A 20-year-old woman presents to the clinic with a circular hypopigmented lesion on her right cheek. The patient stated that she used to have a mole in the same location. Over time she noticed a white area around the mole that enlarged to the current size of the lesion. After a few months she noticed the mole in the center of the lesion had disappeared. On further questioning, she denies any personal or family history of skin cancer.
Question: Which of the following is the most likely diagnosis for the patient?
Choices:
Halo nevus
Melanoma
Vitiligo
Dysplastic nevus
Answer: ",['Halo nevus'],False,Halo nevus,False,no,
MediQDataset,"Context: A 24-year-old white female graduate student presents with erythematous, papulopustular patches of skin in a muzzle-like distribution surrounding the mouth, chin, and glabellar region. The lesions are tender to palpation, associated with a stinging and burning sensation, and are aggravated by exfoliating facial washes. Two-year treatment history includes a variety of topical antibiotics, azelaic acid cream, retinoid agents, benzoyl peroxide preparations, topical corticosteroids, and oral tetracycline for cyclic recurrences of outbreaks. These treatment methods were previously successful with complete resolution of each outbreak; however, at present the lesions are persisting despite treatment.
Question: Which of the following is the most likely diagnosis for the patient?
Choices:
Perioral dermatitis
Acne vulgaris
Allergic contact dermatitis
Facial demodicosis
Answer: ",['Perioral dermatitis'],False,Perioral dermatitis,False,no,
MusiqueDataset,"Given the following context and question, answer the question.
Context: Paragraph 1: The White armored car was a series of armored cars developed by the White Motor Company in Cleveland, Ohio from 1915.
 Paragraph 2: The 100 (pronounced The Hundred) is an American post-apocalyptic science fiction drama television series developed by Jason Rothenberg, which premiered on March 19, 2014, on The CW. It is loosely based on a 2013 book of the same name, the first in a book series by Kass Morgan. The series follows a group of teens as they become the first people from a space habitat to return to Earth after a devastating nuclear apocalypse.
 Paragraph 3: Parc Safari is a zoo in Hemmingford, Quebec, Canada, and is one of the region's major tourist attractions; that has both African & Asian species of elephant.
Question: Who developed the eponymous character from the series that contains Mickey's Safari in Letterland?",[''],True,,,,
MusiqueDataset,"Given the following context and question, answer the question.
Context: Paragraph 1: Problem Child 3 is a 1995 American made-for-television film and the third and final installment of the ""Problem Child"" trilogy. However, it sets off completely different from the second film. In it, Junior is a preteen and is in love with a girl named Tiffany. However, she does not notice him. Things take a mischievous turn when he finds out there are three other boys interested in her as well. In this installment, he is portrayed by Justin Chapman and Ben is portrayed by William Katt. Neither Annie (Amy Yasbeck) nor Trixie (Ivyann Schwan) appear in it, nor are they mentioned. Gilbert Gottfried and Jack Warden are the only cast members to appear in all three films. It neither explains how Big Ben is still rich, since his apparent new wife, LaWanda Dumore, is never mentioned, nor how Mr. Peabody went from being a school principal to a dentist. It aired on May 13, 1995 on NBC.
 Paragraph 2: Love in Pawn is a 1953 British comedy film directed by Charles Saunders and starring Bernard Braden and Barbara Kelly.
Question: Who is the child of the actor who is a cast member of Love in Pawn?",[''],True,,,,
MusiqueDataset,"Given the following context and question, answer the question.
Context: Paragraph 1: Almost all growth will take place in the less developed regions, where today's 5.3 billion population of underdeveloped countries is expected to increase to 7.8 billion in 2050. By contrast, the population of the more developed regions will remain mostly unchanged, at 1.2 billion. An exception is the United States population, which is expected to increase by 44% from 2008 to 2050.
 Paragraph 2: Khong Island or Don Khong is the largest island and the seat of administration in the Si Phan Don riverine archipelago located in the Mekong River, Khong District, Champasak Province, southern Laos.
 Paragraph 3: Dornogovi (, ""East Gobi"") is one of the 21 aimags (provinces) of Mongolia. It is located in the southeast of the country, bordering PR China's autonomous region of Inner Mongolia.
 Paragraph 4: Khong is a district (""muang"") of Champassack Province in southwestern Laos. The district borders Cambodia in the far south and is famous for the Khonephapheng Waterfalls and the Si Phan Don (4000 Islands) area.
 Paragraph 5: The end of World War II brought a baby boom to many countries, especially Western ones. There is some disagreement as to the precise beginning and ending dates of the post-war baby boom, but it is most often agreed to have begun in the years immediately after the war, though some place it earlier at the increase of births in 1941 - 1943. The boom started to decline as birth rates in the United States started to decline in 1958, though the boom would only grind to a halt 3 years later in 1961, 20 years after it began.
Question: In what region of the country containing A Lưới is the birthplace of John Phan located?",[''],True,,,,
MusiqueDataset,"Given the following context and question, answer the question.
Context: Paragraph 1: Bhilangna River is a Himalayan river in Uttarakhand, India, which is the major tributary of the Bhagirathi river, the source stream of the Ganges River of India.
 Paragraph 2: The Kraai River originates in the mountains south of Lesotho and flows westward from the confluence of the Bell River and the Sterkspruit at Moshesh's Ford at all the way to Aliwal North, where it joins the Orange River at .
 Paragraph 3: The Kabompo River is one of the main tributaries of the upper Zambezi River. It flows entirely in Zambia, rising to the east of the source of the Zambezi, in North-Western Province along the watershed between the Zambezi and Congo river basins which also forms the border between Zambia and DR Congo.
 Paragraph 4: The Kizir River (Кизир) is a right tributary of the Kazyr River. It flows for about through the Eastern Sayan Mountains in the Krasnoyarsk Krai of Russia. Its source is located in the Kryzhina Ridge. The river contains many cataracts which make it popular with Siberian rafters. Another tourist attraction is the Kinzelyuk Waterfall, one of the highest in Asia.
Question: What is the source of the river of which Kraai River is a tributary?",[''],True,,,,
MusiqueDataset,"Given the following context and question, answer the question.
Context: Paragraph 1: The City of Yuma is a Home Rule Municipality that is the most populous city in Yuma County, Colorado, United States. The population was 3,524 at the 2010 census.
 Paragraph 2: The Grace Keiser Maring Library is located on the south side of Muncie, Indiana, USA. Built at 1808 South Madision Street, the library is next to Heekin Park, the largest and oldest community park in Muncie. The library was the first branch library built in the city.
 Paragraph 3: The J. Erik Jonsson Central Library is the Main Library Branch of the Dallas Public Library system. It is located at 1515 Young Street in the Government District of downtown Dallas, Texas, directly across from Dallas City Hall.
 Paragraph 4: After a hiatus of eleven years, the race was revived by the Verizon IndyCar Series in 2016. It was held on Saturday night under the lights. Long considered a popular Indy car track, Phoenix has a rich history of open wheel races, including a spectacular crash involving Johnny Rutherford (1980), and the final career victory for Indy legend Mario Andretti (1993).
Question: Who won the Indy Car Race in the largest populated city of the state where Yuma's Library District is located?",[''],True,,,,
